,cultivar,Z1,Z2
464,C319,-0.30496487,-0.059315927
465,C319,-0.34920266,-0.5835265
466,C319,-0.9381181,3.3692198
467,C319,0.6032637,2.168417
468,C319,0.51831734,1.7918494
469,C319,-0.15811299,0.77535826
470,C319,-0.4666705,3.0825722
471,C319,-0.22031333,-0.7199635
472,C319,-0.81054306,2.657712
473,C319,-0.038381513,2.3917983
474,C319,0.62801814,3.492431
475,C319,1.2071809,2.6426244
476,C319,-0.32823098,0.4184858
477,C319,2.1310146,-1.6929417
478,C319,-0.15152262,3.2861423
479,C319,-0.2552885,3.1488836
480,C319,0.38695756,4.097362
481,C319,-0.2440385,2.1013832
482,C319,-0.32087722,-0.52530503
483,C319,-0.84782535,1.7022017
484,C319,-0.3945499,1.5046221
485,C319,-0.08168689,2.9158204
486,C319,0.37892878,-0.11546077
487,C319,-0.09796163,0.11083243
488,C319,-0.10383698,2.7121
489,C319,-0.5031365,2.5445786
490,C319,-0.23303616,4.382828
491,C319,-0.32030115,0.08849912
492,C319,-0.08053783,0.27703935
493,C319,2.5738208,2.3680453
494,C319,-0.32838726,-0.36572298
495,C319,-0.34078982,0.41573328
496,C319,1.2253461,-6.9993176
497,C319,0.8249849,4.23012
498,C319,-0.27958032,0.6047482
499,C319,-0.18649629,1.332212
500,C319,1.9998935,2.8105342
501,C319,0.57895815,2.1338403
502,C319,-0.05873143,0.41151333
503,C319,0.025711581,1.5969207
504,C319,-0.5217403,1.096004
505,C319,-0.5915799,0.21877383
506,C319,-0.5766639,0.33502474
507,C319,0.74616724,-0.5894057
508,C319,1.9759138,-7.6894283
509,C319,5.3938837,-3.4399502
510,C346,0.78758967,0.84320146
511,C346,1.3565888,0.2770132
512,C346,1.9597543,0.31488147
513,C346,0.6104911,0.7815385
514,C346,0.66818523,0.83928204
515,C346,1.2416157,0.7528539
516,C346,1.1495959,0.72264725
517,C346,1.5175436,0.28081787
518,C346,0.45109493,0.93442935
519,C346,1.6444997,0.85072345
520,C346,1.9908669,0.15082273
521,C346,0.75427634,0.8101528
522,C346,1.0285223,0.78317744
523,C346,0.7229206,0.90826154
524,C346,1.5183367,0.16706224
525,C346,0.966417,0.90591216
526,C346,1.5302982,0.05400318
527,C346,1.163073,0.6623268
528,C346,1.4726442,0.21000977
529,C346,1.7014393,-0.03740836
530,C346,1.630999,0.4723352
531,C346,1.3375704,0.5920518
532,C346,1.7385224,0.14157853
533,C346,1.3771493,0.6181069
534,C346,2.2951016,-0.121723995
535,C346,1.8217341,1.0969943
536,C346,2.4169042,-0.19591546
537,C346,2.3324473,0.37285936
538,C346,2.8386476,0.40751478
539,C346,1.8152316,0.3823735
540,C346,1.4323102,0.41452444
541,C346,3.0491548,-1.0305136
542,C346,2.9838207,-0.7784632
543,C346,0.75198436,0.6933306
544,C346,0.5432997,0.73142505
545,C346,0.6443727,0.81275004
546,C346,0.51486826,0.94744664
547,C346,1.6972939,0.43677327
548,C346,1.5591644,0.7100928
549,C346,1.527335,0.584002
550,C346,2.4248905,0.70440197
551,C346,1.246824,1.1872728
552,C346,1.3749069,0.36624268
553,C346,0.7581925,0.79578674
554,C346,3.6032162,-0.9423968
555,C346,1.8446827,-0.5664564
556,C346,2.0502408,0.5042371
557,C346,2.6965451,0.5195174
558,C346,1.3029089,0.4075941
559,C346,1.8654034,0.34661305
560,C346,2.997114,0.45325252
561,C346,2.175572,0.569338
562,C346,2.406294,0.46427158
563,C346,1.8702046,-0.0182156
564,C346,1.1611613,0.6572241
565,C346,1.9142115,-0.24976906
566,C346,1.6672543,0.6749598
